unlocode,port_name,country
RU LED,St. Petersburg,RU
RU UST,Ust-Luga,RU
RU ULU,Ust-Luga,RU
RU KGD,Kaliningrad,RU
RU BLT,Baltiysk,RU
RU MMK,Murmansk,RU
RU ARH,Arkhangelsk,RU
RU PRI,Primorsk,RU
RU VYP,Vysotsk,RU
RU VBG,Vyborg,RU
RU NVS,Novorossiysk,RU
RU TUA,Tuapse,RU
RU TMR,Taman,RU
RU KAV,Kavkaz,RU
RU RND,Rostov-on-Don,RU
RU AZO,Azov,RU
RU TAG,Taganrog,RU
RU MKC,Makhachkala,RU
RU VVO,Vladivostok,RU
RU NJK,Nakhodka,RU
RU KOZ,Kozmino,RU
RU VAN,Vanino,RU
RU DKA,De-Kastri,RU
RU KOR,Korsakov,RU
RU PET,Petropavlovsk-Kamchatskiy,RU
RU MAG,Magadan,RU
RU SEV,Sevastopol,RU
RU KER,Kerch,RU
RU FEO,Feodosia,RU
