change_type,name_before,name_after,imo,details
added,,ALEKSEY KOSYGIN,9904546,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,ANAYA,9326885,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,LUCH,9317315,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,DAKAR,9251743,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,PALLADA,9250050,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,SOLSTRAUM,9157014,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,ERIDAN,9157002,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,G.ROSSINI,9156981,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,KORD ARCTIC,9036272,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,KORSAKOV,8724793,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,ABRAU,9422964,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,BELLARIS,9332614,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,FLINT WIND,9314179,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,ZHUO YUAN,9408683,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,DAPHNE V,9321677,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,YEHOPE,9243320,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,VASILY SURIKOV,9645023,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,PORT OLYA-3,9481910,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,MIDVOLGA-3,9735141,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,ORENBURG,9687992,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,PIONEER,9255282,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,ANDREY PERVOZVANNIY,9255268,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,AKKORD,9259599,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,ADMIRAL,9274446,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,KUMANA,9809538,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,BILAL BEY,8984848,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,BEBEK-E,7808401,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,LADY JASMINE,1031537,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,OCEAN FORTUNE 18,1064493,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,VIRENT,9332171,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,ABINSK,9303869,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,ALEXANDER NEVSKIY,9356610,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,IRTYSH,9664976,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,KRASNODAR,9296781,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,SVYATOI KNYAZ VLADIMIR,9838864,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,ALBEDO,9213313,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,PERUN,9582776,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,IRKUTSK,9419084,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,DAMAS WAVE,8915299,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
added,,TAVIAN,9147447,New EU Annex XLII designation; application date 24-07-2026; Regulation (EU) 2026/1848
updated_name,KRITI VIGOR,STORMBRINGER (EX KRITI VIGOR),9290397,EU-listed current name changed from KRITI VIGOR to STORMBRINGER (EX KRITI VIGOR)
updated_relisting,SANRAYZ,SANRAYZ,8862935,Existing record retained; note added for additional Annex XLII entry 686 dated 24-07-2026
