name,imo,mmsi,callsign,flag_detected,flag_iso_code,categories,watch_priority,sanctioned,shadow_fleet,false_flag,from_russia_confirmed,recent_russian_portcall_confirmed_10d,recent_russian_portcall_unconfirmed_10d,recent_ru_portcall_confidence,recent_ru_portcall_basis,destination,latitude,longitude,sog,cog,observed_at,position_timestamp_basis,source,source_list,source_url,notes
,,273143900,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,59.87558,30.203505,0.0,,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,273274950,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,59.878357,30.237428,0.0,169.9,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,273294560,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,59.884293,30.230275,0.0,,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,273332420,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,60.001435,29.708297,0.1,,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,273337240,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,59.869077,30.219452,0.4,,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,273339460,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,59.927958,28.545525,9.9,201.3,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,273358150,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,61.371238,30.88881,0.0,10.6,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,273372040,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,60.84192,30.456207,0.1,,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,273414400,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,59.949717,30.19391,0.1,,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,273540680,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,59.94558,29.877375,9.3,110.7,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,273545420,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,59.927955,29.780387,0.0,298.2,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,273546420,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,59.879697,30.227772,0.0,,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
,,518100358,,Cook Islands,CK,"[""falseflag_interest""]",,False,False,True,False,False,False,,,,38.123083333333334,13.370663333333333,0.0,28.6,2026-07-29T04:47:12.058950+00:00,source_timestamp,AISStream,,,
AGATE,9310707,631010112,3CAN40,,,"[""sanctions_shadowfleet"",""watchlist""]",high,True,True,False,False,False,False,,,TR YAL,58.937317,21.351562,4.5,210.6,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,EU_Annex_XLII,https://www.dma.dk/growth-and-framework-conditions/maritime-sanctions/sanctions-against-russia-and-belarus/eu-vessel-designations,EU designated vessel
AKADEMIK B.PETROV,8211150,273454710,UDVX,,,"[""russian_mmsi""]",,False,False,False,False,False,False,declared_destination_only,,RUKGD,57.703193,7.082575,9.5,90.8,2026-07-29T05:29:39+00:00,source_timestamp,BarentsWatch / Norwegian Coastal Administration,,,
AKADEMIK TRYOSHNIKOV,,273359440,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,59.88868166666667,30.231311666666667,0.0,,2026-07-29T04:46:41.219643+00:00,source_timestamp,AISStream,,,
ALEKSEY ANICHKIN,8817423,273448380,UGYK,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,BALTIC SEA,57.66755,6.862883,10.7,91.7,2026-07-29T05:30:50+00:00,source_timestamp,BarentsWatch / Norwegian Coastal Administration,,,
ALIOT,9777735,273390190,UBBP3,,,"[""russian_mmsi""]",,False,False,False,False,False,False,declared_destination_only,,RUULU,59.419483,24.8106,54.0,76.3,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
ALISA,9244207,273251360,UANA8,,,"[""russian_mmsi""]",,False,False,False,False,False,False,declared_destination_only,,RU LED,59.87305,30.203625,0.2,314.0,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
